Nodes,Percentagem,Edges,Perc_k,k,Result,Basic_Operations,Time,Memory
30,12.5,54,50,15,False,592610,5.0001609325408936,4.328125
30,12.5,54,75,22,False,467625,5.000168800354004,1.62890625
30,25,109,12.5,3,True,59,0.00036716461181640625,0.0
30,25,109,25,7,False,691875,5.000034809112549,1.00390625
30,25,109,50,15,False,499151,5.000140190124512,8.37109375
30,25,109,75,22,False,407745,5.000044107437134,0.015625
30,50,218,12.5,3,True,9,0.00011181831359863281,0.0
30,50,218,25,7,False,519963,5.000064849853516,0.30859375
30,50,218,50,15,False,404235,5.000062942504883,0.28515625
30,50,218,75,22,False,340933,5.00018572807312,0.21875
30,75,326,12.5,3,True,5,0.00011610984802246094,0.0
30,75,326,25,7,False,407552,5.0000319480896,0.05859375
30,75,326,50,15,False,332239,5.0000832080841064,13.02734375
30,75,326,75,22,False,288918,5.000056743621826,4.359375
31,12.5,58,12.5,3,True,291,0.0011699199676513672,0.0
31,12.5,58,25,7,False,884144,5.0001678466796875,19.25390625
31,12.5,58,50,15,False,593807,5.000061750411987,8.2265625
31,12.5,58,75,23,False,455863,5.000162124633789,10.4453125
31,25,116,12.5,3,True,7,9.489059448242188e-05,0.0
31,25,116,25,7,False,680809,5.000028848648071,0.03125
31,25,116,50,15,False,497214,5.000075101852417,0.01171875
31,25,116,75,23,False,394335,5.000046968460083,0.0078125
31,50,232,12.5,3,True,7,9.489059448242188e-05,0.0
31,50,232,25,7,False,506053,5.000072002410889,7.48828125
31,50,232,50,15,False,397809,5.000072956085205,3.3203125
31,50,232,75,23,False,328630,5.00017786026001,5.328125
31,75,349,12.5,3,True,2,8.511543273925781e-05,0.0
31,75,349,25,7,True,239901,3.104015827178955,0.2109375
31,75,349,50,15,False,321336,5.0000410079956055,0.01953125
31,75,349,75,23,False,274778,5.000149965286255,0.1484375
32,12.5,62,12.5,4,False,1107013,5.000158071517944,8.24609375
32,12.5,62,25,8,False,818046,5.000173807144165,1.015625
32,12.5,62,50,16,False,568521,5.0000529289245605,3.55859375
32,12.5,62,75,24,False,436899,5.000158071517944,0.07421875
32,25,124,12.5,4,True,30411,0.18946623802185059,0.0
